transactionId,transactionType,transactionDate,merchantName,storeName,deviceName,location,totalAmount,cardHolderName,cardType,currencyCode,transactionStatus,failureReason
TXN000018,CASHBACK,2025-02-26 11:46:55,Ellis Inc,LLC,POS-2919,New Juanbury,708.28,Karen Bishop,AMEX,EUR,SUCCESS,SUCCESS
TXN000019,REFUND,2024-12-08 11:46:55,"Howard, Arroyo and Schultz",PLC,POS-2018,Lake Kyle,109.6,Sandra Miller,MASTERCARD,EUR,SUCCESS,SUCCESS
TXN000020,PURCHASE,2024-09-24 11:46:55,"Lee, Cook and Allen",Ltd,POS-9752,Grayshire,606.15,Amanda Savage,VISA,USD,SUCCESS,SUCCESS
TXN000021,PURCHASE,2024-08-23 11:46:55,"Barnes, Bates and Williams",Group,POS-4088,West Jacquelinemouth,610.28,Katelyn Hoffman,VISA,GBP,SUCCESS,SUCCESS
TXN000022,PURCHASE,2025-01-06 11:46:55,Henson Group,LLC,POS-2901,Maryton,46.03,Sheri Burnett,VISA,EUR,FAILED,Suspicious transaction (anomaly)
TXN000023,PURCHASE,2025-05-12 11:46:55,Dunn Ltd,Inc,POS-8851,North Richard,218.47,Emily Lewis,VISA,USD,SUCCESS,SUCCESS
TXN000024,CASHBACK,2024-12-09 11:46:55,"Fischer, Baird and Lowe",PLC,POS-2662,East Davidborough,837.54,Diana Good,VISA,EUR,SUCCESS,SUCCESS
TXN000025,PURCHASE,2024-08-17 11:46:55,Alvarez Group,Ltd,POS-5932,North Joshuamouth,356.79,Ashley Scott,MASTERCARD,USD,SUCCESS,SUCCESS
TXN000026,CASHBACK,2024-11-17 11:46:55,"Meyer, Curtis and Reed",and Sons,POS-1645,Melissaton,600.52,Michael Grant,RUPAY,EUR,SUCCESS,SUCCESS
TXN000027,REFUND,2025-01-12 11:46:55,Mays-Browning,Inc,POS-8704,Josephmouth,839.94,Jacqueline Medina,MASTERCARD,EUR,SUCCESS,SUCCESS
TXN000028,PURCHASE,2024-08-02 11:46:55,Bennett LLC,Inc,POS-3592,East Joseph,846.97,Jacob Davis,AMEX,INR,FAILED,Currency mismatch
TXN000029,PURCHASE,2024-09-12 11:46:55,"Johnson, Nelson and Hernandez",PLC,POS-8246,Michaelside,668.95,Brian Cross,VISA,GBP,SUCCESS,SUCCESS
TXN000030,CASHBACK,2024-12-17 11:46:55,Parker PLC,Ltd,POS-9332,West Richardmouth,918.34,Brian Hoffman,AMEX,GBP,FAILED,Suspicious transaction (anomaly)
TXN000031,CASHBACK,2025-03-08 11:46:55,Wells-Randall,LLC,POS-3513,South Darrenfort,564.99,Eric Navarro,VISA,GBP,SUCCESS,SUCCESS
TXN000032,CASHBACK,2025-06-04 11:46:55,Gillespie Ltd,PLC,POS-6503,Drakeland,741.63,Bradley Brady,AMEX,EUR,SUCCESS,SUCCESS
TXN000033,PURCHASE,2024-11-10 11:46:55,Cruz Inc,Group,POS-6770,Shanefort,614.03,Michelle Robinson,AMEX,EUR,SUCCESS,SUCCESS
TXN000034,CASHBACK,2025-02-06 11:46:55,Richardson LLC,PLC,POS-7357,South James,751.0,Rodney Farrell,VISA,USD,SUCCESS,SUCCESS
TXN000035,CASHBACK,2025-04-07 11:46:55,Leach Group,Ltd,POS-6478,North Tyler,168.48,Martin Shea,MASTERCARD,GBP,SUCCESS,SUCCESS
TXN000036,REFUND,2024-07-16 11:46:55,Hanson Inc,and Sons,POS-7789,Grayside,41.23,Ashley Carlson,RUPAY,USD,FAILED,Suspicious transaction (anomaly)
TXN000037,PURCHASE,2024-11-28 11:46:55,Hernandez-Sullivan,Ltd,POS-2046,Richfort,266.63,Stacy Bass,MASTERCARD,GBP,SUCCESS,SUCCESS
TXN000038,CASHBACK,2024-11-07 11:46:55,Reid-Baxter,PLC,POS-1001,North Matthew,885.04,Stephanie Meyers,RUPAY,INR,SUCCESS,SUCCESS
TXN000039,REFUND,2024-11-17 11:46:55,Warren LLC,PLC,POS-1816,Port Nicholas,810.96,Michael Ruiz,RUPAY,EUR,SUCCESS,SUCCESS
TXN000040,CASHBACK,2024-08-24 11:46:55,Black Inc,Inc,POS-2367,East Billy,839.07,Ryan Rivera,MASTERCARD,USD,SUCCESS,SUCCESS
TXN000041,REFUND,2024-08-01 11:46:55,Owen Ltd,Group,POS-7840,Williamhaven,323.02,Laura Gregory,MASTERCARD,USD,SUCCESS,SUCCESS
TXN000042,CASHBACK,2025-07-13 11:46:55,"Chang, Mooney and Burgess",and Sons,POS-9656,Amandachester,615.94,Karen Gibbs,MASTERCARD,USD,SUCCESS,SUCCESS
TXN000043,CASHBACK,2024-08-16 11:46:55,Lawson-Hall,Inc,POS-4252,Lake Hunterhaven,874.92,Faith Snyder,AMEX,EUR,SUCCESS,SUCCESS
TXN000044,PURCHASE,2024-11-13 11:46:55,Hahn-Turner,Group,POS-7499,Patrickton,631.36,Timothy Allen,VISA,INR,SUCCESS,SUCCESS
TXN000045,REFUND,2025-05-16 11:46:55,"Greer, Brown and Johnson",Group,POS-5202,South Pamela,142.09,Angela Hale,AMEX,USD,SUCCESS,SUCCESS
TXN000046,PURCHASE,2025-02-22 11:46:55,Jenkins-Carr,Group,POS-1304,Williamsfort,51.87,Alicia George,MASTERCARD,INR,SUCCESS,SUCCESS
TXN000047,CASHBACK,2025-02-03 11:46:55,Soto Inc,Ltd,POS-7011,Jamesfort,939.05,Antonio Haynes,VISA,GBP,SUCCESS,SUCCESS
TXN000048,CASHBACK,2024-08-19 11:46:55,"Chen, Morgan and Martinez",Ltd,POS-8514,Kristinaberg,643.74,Jasmine Carter,AMEX,EUR,SUCCESS,SUCCESS
TXN000049,PURCHASE,2025-01-03 11:46:55,"Brennan, Becker and Patrick",PLC,POS-5768,North Kimberly,18.81,Peter Gibson,MASTERCARD,INR,SUCCESS,SUCCESS
TXN000050,REFUND,2025-01-23 11:46:55,"Jones, Williams and Villa",Group,POS-7016,Rachelhaven,721.31,Laura Robinson,AMEX,USD,SUCCESS,SUCCESS
TXN000051,PURCHASE,2025-02-26 11:46:55,Frank Ltd,PLC,POS-3684,Hunterville,157.92,Steven Henderson,AMEX,INR,FAILED,Currency mismatch
TXN000052,REFUND,2024-10-07 11:46:55,Walls Group,Inc,POS-3124,South Kimtown,300.47,Jessica Butler,RUPAY,EUR,SUCCESS,SUCCESS
TXN000053,PURCHASE,2025-02-07 11:46:55,Calhoun-Rivers,Ltd,POS-3942,Christianland,858.47,Michael Reed,VISA,INR,SUCCESS,SUCCESS
TXN000054,REFUND,2025-01-27 11:46:55,Smith and Sons,LLC,POS-5902,New Patriciaborough,420.57,Matthew Dennis,VISA,GBP,SUCCESS,SUCCESS
TXN000055,REFUND,2025-01-23 11:46:55,Adkins LLC,LLC,POS-6630,New Jesseberg,133.08,Brian Cooper,VISA,GBP,SUCCESS,SUCCESS
TXN000056,REFUND,2025-06-25 11:46:55,Anderson-Levy,LLC,POS-5946,Thomasport,341.73,Shawn Tran,MASTERCARD,EUR,SUCCESS,SUCCESS
TXN000057,CASHBACK,2024-09-28 11:46:55,White-Kaiser,Inc,POS-7153,Ericberg,808.06,Regina Stewart,VISA,USD,SUCCESS,SUCCESS
TXN000058,PURCHASE,2025-04-04 11:46:55,Young and Sons,LLC,POS-4621,Robertton,70.54,Lindsay Long,VISA,USD,SUCCESS,SUCCESS
TXN000059,REFUND,2024-10-03 11:46:55,"Jones, Fisher and Pierce",Ltd,POS-9503,New Robert,296.92,Angela Wallace,RUPAY,EUR,SUCCESS,SUCCESS
TXN000060,REFUND,2025-06-02 11:46:55,Walsh-Rice,Group,POS-7034,Smithmouth,227.94,Jacob Farley,AMEX,EUR,SUCCESS,SUCCESS
TXN000061,REFUND,2025-04-07 11:46:55,Clements Inc,LLC,POS-6873,New Catherineberg,123.86,Jill Ross,VISA,GBP,SUCCESS,SUCCESS
TXN000062,CASHBACK,2025-04-02 11:46:55,Reynolds-Wright,Group,POS-2948,Sharonberg,502.12,Mark Miller,AMEX,EUR,SUCCESS,SUCCESS
TXN000063,CASHBACK,2025-06-23 11:46:55,Phillips Ltd,Group,POS-4537,Smithport,627.18,William Turner,VISA,EUR,SUCCESS,SUCCESS
TXN000064,REFUND,2025-01-02 11:46:55,"Moore, Mccarthy and Ruiz",Ltd,POS-6925,Wolfbury,550.93,Jennifer Chen,MASTERCARD,USD,SUCCESS,SUCCESS
TXN000065,CASHBACK,2024-11-07 11:46:55,Martinez Ltd,Inc,POS-3431,West Raymondshire,568.27,Jill Francis,RUPAY,GBP,SUCCESS,SUCCESS
TXN000066,CASHBACK,2025-01-30 11:46:55,Campbell-Fischer,and Sons,POS-9166,North Chadview,998.2,Gerald Moreno,MASTERCARD,EUR,FAILED,Suspicious transaction (anomaly)
TXN000067,PURCHASE,2025-01-21 11:46:55,Macdonald and Sons,Inc,POS-6214,Callahanport,819.94,Laura Burton,VISA,EUR,SUCCESS,SUCCESS
TXN000068,REFUND,2024-09-09 11:46:55,"Garcia, Sosa and Stephens",Ltd,POS-3554,Kellystad,843.91,Brenda Martinez,AMEX,GBP,SUCCESS,SUCCESS
TXN000069,PURCHASE,2025-06-01 11:46:55,James PLC,Group,POS-9462,New Elizabeth,870.21,John Perry,VISA,USD,SUCCESS,SUCCESS
TXN000070,PURCHASE,2025-05-09 11:46:55,Burns-Mason,Group,POS-1665,South Kevinfort,307.44,Marc Johnson,RUPAY,INR,SUCCESS,SUCCESS
TXN000071,PURCHASE,2025-04-29 11:46:55,Myers-Haney,PLC,POS-8548,Lake Michellefurt,968.91,Andrew Oliver,RUPAY,USD,SUCCESS,SUCCESS
TXN000072,CASHBACK,2025-05-29 11:46:55,Marks-Lyons,Ltd,POS-9486,East Karen,760.27,Brian Murray,VISA,GBP,SUCCESS,SUCCESS
TXN000073,PURCHASE,2025-02-16 11:46:55,Cruz-Rivera,Ltd,POS-9772,Hernandezberg,902.13,Beverly Lozano,RUPAY,GBP,SUCCESS,SUCCESS
TXN000074,REFUND,2024-09-06 11:46:55,Bailey-Lucero,Group,POS-4826,Pricebury,852.8,Jessica Harris,VISA,USD,SUCCESS,SUCCESS
TXN000075,CASHBACK,2025-04-12 11:46:55,"Williams, Price and Young",Inc,POS-5955,West Brian,511.79,Carrie Bishop,AMEX,INR,FAILED,Currency mismatch
TXN000076,PURCHASE,2024-11-04 11:46:55,"Miller, Melton and Walton",LLC,POS-5292,Ellishaven,943.52,Mariah Payne,AMEX,GBP,SUCCESS,SUCCESS
TXN000077,REFUND,2024-12-30 11:46:55,"Villa, Carpenter and Henry",Ltd,POS-2020,Lewisview,172.16,Anthony Bailey,MASTERCARD,EUR,SUCCESS,SUCCESS
TXN000078,REFUND,2025-01-24 11:46:55,Pena-Taylor,Group,POS-1909,New Randy,942.44,Jody Morgan,RUPAY,GBP,SUCCESS,SUCCESS
TXN000079,PURCHASE,2024-11-05 11:46:55,Obrien Inc,LLC,POS-2337,Amandamouth,676.81,Joseph Lee,MASTERCARD,INR,SUCCESS,SUCCESS
TXN000080,REFUND,2025-06-26 11:46:55,Clark PLC,LLC,POS-8639,Port James,392.82,Nancy Collins,VISA,USD,FAILED,Suspicious transaction (anomaly)
TXN000081,REFUND,2025-04-28 11:46:55,Scott-Cooper,Ltd,POS-1331,North Kevin,42.14,Alexandra Simpson,MASTERCARD,INR,SUCCESS,SUCCESS
TXN000082,PURCHASE,2024-07-21 11:46:55,Williams-Lamb,Group,POS-9997,Alexanderland,652.5,Brett Cannon,MASTERCARD,GBP,SUCCESS,SUCCESS
TXN000083,REFUND,2025-05-19 11:46:55,Henson-Lewis,PLC,POS-1985,Port Ronaldfurt,614.02,Christopher Burns,RUPAY,INR,SUCCESS,SUCCESS
TXN000084,CASHBACK,2025-05-12 11:46:55,Pittman LLC,LLC,POS-5855,Virginiaville,790.68,Donna Weaver,MASTERCARD,GBP,SUCCESS,SUCCESS
TXN000085,REFUND,2024-07-31 11:46:55,Dawson Group,PLC,POS-2991,Herreraview,523.82,Alan Mendez,MASTERCARD,USD,SUCCESS,SUCCESS
TXN000086,REFUND,2024-11-29 11:46:55,"Garcia, Quinn and Wright",LLC,POS-7087,Lake Amandachester,759.05,Barbara Brewer,RUPAY,INR,SUCCESS,SUCCESS
TXN000087,CASHBACK,2025-06-06 11:46:55,Maddox PLC,LLC,POS-1731,Lake Jennifer,902.91,Diane Singh,VISA,GBP,SUCCESS,SUCCESS
TXN000088,REFUND,2025-07-01 11:46:55,Brown LLC,Ltd,POS-9520,Jesusfort,669.85,Christopher Pacheco,MASTERCARD,EUR,SUCCESS,SUCCESS
TXN000089,PURCHASE,2024-08-27 11:46:55,"Wagner, Richardson and Walters",and Sons,POS-9231,Mooreburgh,701.52,Angela Hubbard,RUPAY,INR,SUCCESS,SUCCESS
TXN000090,PURCHASE,2025-05-01 11:46:55,Hudson-Dominguez,and Sons,POS-7979,Lake David,892.92,James Franklin,RUPAY,USD,SUCCESS,SUCCESS
TXN000091,PURCHASE,2024-12-14 11:46:55,Fuller Inc,PLC,POS-2030,New Caitlinfort,108.22,Adam Robinson,MASTERCARD,USD,SUCCESS,SUCCESS
TXN000092,REFUND,2024-12-06 11:46:55,"Martin, Koch and Lamb",Ltd,POS-7832,Payneland,39.83,Larry Warner,AMEX,INR,FAILED,Currency mismatch
TXN000093,PURCHASE,2025-01-15 11:46:55,Floyd-Cruz,Inc,POS-2152,North Leslie,130.16,Danielle Roy,VISA,INR,SUCCESS,SUCCESS
TXN000094,REFUND,2025-04-14 11:46:55,"Swanson, Barrett and Green",Ltd,POS-1163,West Andre,831.97,Amy Mccoy,MASTERCARD,INR,SUCCESS,SUCCESS
TXN000095,PURCHASE,2024-09-12 11:46:55,Johnson-Burton,Inc,POS-3347,North Alexander,215.9,Erin Nicholson,MASTERCARD,USD,SUCCESS,SUCCESS
TXN000096,CASHBACK,2025-07-11 11:46:55,Stanton-Henderson,and Sons,POS-5804,Grahamstad,375.44,Matthew Chandler,VISA,EUR,SUCCESS,SUCCESS
TXN000097,PURCHASE,2025-04-10 11:46:55,"Ortiz, Smith and Macdonald",PLC,POS-8439,Maloneshire,121.27,Jennifer Myers,AMEX,INR,FAILED,Currency mismatch
TXN000098,PURCHASE,2025-06-30 11:46:55,Mason PLC,Ltd,POS-4409,North Mark,368.62,Samantha Wright,RUPAY,INR,SUCCESS,SUCCESS
TXN000099,REFUND,2024-10-04 11:46:55,Frye and Sons,Ltd,POS-6357,Lake Christian,192.21,Linda Oliver,VISA,USD,SUCCESS,SUCCESS
TXN000100,CASHBACK,2024-09-20 11:46:55,Mckinney-Mendez,Inc,POS-6042,Matthewfurt,164.84,Timothy Johnson,MASTERCARD,EUR,SUCCESS,SUCCESS
TXN000101,PURCHASE,2025-02-03 11:46:55,Howard Ltd,and Sons,POS-9328,Youngstad,250.41,Paul Morgan,MASTERCARD,INR,SUCCESS,SUCCESS
TXN000102,REFUND,2024-12-12 11:46:55,Blackburn-Smith,PLC,POS-1757,Andreaton,862.36,Laura Baker,VISA,GBP,SUCCESS,SUCCESS
TXN000103,PURCHASE,2024-07-20 11:46:55,"Johnson, Foster and Wilson",LLC,POS-2199,Williamsview,140.7,Amanda Becker,AMEX,GBP,SUCCESS,SUCCESS
TXN000104,CASHBACK,2025-05-03 11:46:55,"Park, Hickman and Cooley",and Sons,POS-7917,Paulview,305.05,Keith Rivera,AMEX,USD,FAILED,Suspicious transaction (anomaly)
TXN000105,PURCHASE,2024-11-29 11:46:55,Willis Ltd,PLC,POS-7049,Franciscoberg,640.67,Paul Smith,VISA,GBP,SUCCESS,SUCCESS
TXN000106,REFUND,2025-07-10 11:46:55,Cunningham LLC,LLC,POS-7835,Conniemouth,962.34,Jamie Jordan Jr.,AMEX,GBP,SUCCESS,SUCCESS
TXN000107,PURCHASE,2025-01-05 11:46:55,Carroll Group,and Sons,POS-5805,Sarahfort,952.82,Mary Bates,VISA,EUR,SUCCESS,SUCCESS
TXN000108,PURCHASE,2025-02-23 11:46:55,Burgess-Lopez,PLC,POS-2837,Ramirezburgh,562.6,Amy Fowler,MASTERCARD,GBP,SUCCESS,SUCCESS
TXN000109,REFUND,2025-04-11 11:46:55,"Rodriguez, Gordon and Hogan",PLC,POS-7909,Fischerview,437.4,Adam Osborne,MASTERCARD,GBP,SUCCESS,SUCCESS
TXN000110,REFUND,2024-10-20 11:46:55,"Ramirez, Scott and Rose",LLC,POS-3335,Jameschester,361.81,Sarah Brady,VISA,GBP,SUCCESS,SUCCESS
TXN000111,PURCHASE,2025-02-14 11:46:55,Mueller Ltd,PLC,POS-1030,Wardton,831.87,Jennifer Mendez,RUPAY,GBP,SUCCESS,SUCCESS
TXN000112,PURCHASE,2025-03-25 11:46:55,Yoder LLC,PLC,POS-5891,Lake James,123.31,Michael Smith,AMEX,EUR,SUCCESS,SUCCESS
TXN000113,REFUND,2024-07-18 11:46:55,"Wright, Snow and Hill",Group,POS-8723,New Shanemouth,101.63,Stephanie Patrick,RUPAY,EUR,SUCCESS,SUCCESS
TXN000114,CASHBACK,2024-12-19 11:46:55,Rubio and Sons,Group,POS-5588,South Cynthiaview,635.74,Stephen Ayala,VISA,USD,SUCCESS,SUCCESS
TXN000115,REFUND,2024-08-06 11:46:55,"Murphy, Parker and Vasquez",LLC,POS-1664,Port Raymond,10.25,Mark Nunez,RUPAY,GBP,FAILED,Suspicious transaction (anomaly)
TXN000116,REFUND,2025-05-23 11:46:55,"Beard, Johnson and Marshall",PLC,POS-5138,New Jennifer,360.28,Alexander Wells,MASTERCARD,USD,SUCCESS,SUCCESS
TXN000117,PURCHASE,2025-06-08 11:46:55,"Taylor, Miller and Hancock",LLC,POS-5300,North Jamesville,312.55,Kaitlin Edwards,AMEX,USD,SUCCESS,SUCCESS
TXN000118,CASHBACK,2025-03-09 11:46:55,Edwards and Sons,Ltd,POS-3679,Richardberg,77.41,Jennifer Torres,AMEX,INR,FAILED,Currency mismatch
TXN000119,CASHBACK,2025-05-07 11:46:55,Martin and Sons,Group,POS-9569,Lake Madisonton,630.87,Melissa Terry,VISA,GBP,SUCCESS,SUCCESS
TXN000120,CASHBACK,2024-10-09 11:46:55,Herring-Cooper,PLC,POS-7609,North Anitaview,744.01,Dean Graves,AMEX,INR,FAILED,Currency mismatch
TXN000121,REFUND,2025-01-05 11:46:55,Casey-Holmes,Group,POS-3257,Port Rachel,165.5,Amanda Richards,VISA,GBP,SUCCESS,SUCCESS
TXN000122,REFUND,2024-09-15 11:46:55,"Hunt, Huang and Stewart",Inc,POS-8666,Lake Krystal,148.14,Robin Boyd,AMEX,INR,FAILED,Currency mismatch
TXN000123,CASHBACK,2024-11-14 11:46:55,"Cook, Rios and Alvarez",PLC,POS-7801,New Christopherhaven,225.83,Robert Miller,RUPAY,INR,SUCCESS,SUCCESS
TXN000124,REFUND,2024-08-15 11:46:55,Lawson-Hudson,LLC,POS-1986,Huntville,449.54,Timothy White,MASTERCARD,GBP,SUCCESS,SUCCESS
TXN000125,PURCHASE,2024-08-30 11:46:55,Smith PLC,and Sons,POS-4534,South Deannaport,35.29,Susan Burke,RUPAY,GBP,SUCCESS,SUCCESS
TXN000126,PURCHASE,2024-10-18 11:46:55,"Jackson, Hull and Mcintosh",Group,POS-2088,South Michaelview,690.03,Kristine Lara,VISA,GBP,SUCCESS,SUCCESS
TXN000127,PURCHASE,2025-01-11 11:46:55,White-Chavez,LLC,POS-1674,South Caleb,124.99,Alexander Smith,VISA,INR,SUCCESS,SUCCESS
TXN000128,CASHBACK,2024-07-21 11:46:55,Gilbert-Valdez,Inc,POS-5792,Stephenside,729.83,Melissa Alvarez,MASTERCARD,EUR,SUCCESS,SUCCESS
TXN000129,CASHBACK,2025-02-17 11:46:55,Nichols Group,LLC,POS-4132,Lake Zacharyland,114.41,Tyler Ruiz,RUPAY,INR,SUCCESS,SUCCESS
TXN000130,REFUND,2025-04-19 11:46:55,Moore PLC,Ltd,POS-6418,Susantown,427.49,Christopher Kelley,RUPAY,EUR,SUCCESS,SUCCESS
TXN000131,REFUND,2024-07-17 11:46:55,Martin and Sons,Ltd,POS-3416,New Mark,528.92,Tyler Garrett,MASTERCARD,EUR,SUCCESS,SUCCESS
TXN000132,PURCHASE,2024-11-29 11:46:55,Williams-Allen,LLC,POS-6720,Georgebury,791.44,Christopher Fisher,RUPAY,GBP,SUCCESS,SUCCESS
TXN000133,REFUND,2024-12-27 11:46:55,Walter-Taylor,PLC,POS-4607,East Sarahtown,797.63,Michelle Jackson,RUPAY,EUR,SUCCESS,SUCCESS
TXN000134,CASHBACK,2024-07-16 11:46:55,Smith LLC,PLC,POS-1815,North Brandonville,906.76,Brittany Hernandez,VISA,EUR,FAILED,Suspicious transaction (anomaly)
TXN000135,CASHBACK,2025-06-01 11:46:55,French-Barnes,PLC,POS-4059,Jenniferberg,369.97,Daniel Morales,MASTERCARD,EUR,SUCCESS,SUCCESS
TXN000136,CASHBACK,2025-02-12 11:46:55,Russell Ltd,LLC,POS-2419,South Paulabury,707.87,Danny Foster,AMEX,INR,FAILED,Currency mismatch
TXN000137,REFUND,2024-11-22 11:46:55,"Olson, Knapp and Jones",LLC,POS-1883,Nicolestad,635.56,Lindsey Chan,RUPAY,GBP,SUCCESS,SUCCESS
TXN000138,REFUND,2025-03-06 11:46:55,Hill PLC,LLC,POS-8793,Maynardville,223.27,Sarah Thomas,AMEX,USD,FAILED,Suspicious transaction (anomaly)
TXN000139,PURCHASE,2025-06-18 11:46:55,Johnson-Fisher,Group,POS-3668,Middletonmouth,356.3,Candice Peterson,AMEX,USD,SUCCESS,SUCCESS
TXN000140,PURCHASE,2025-06-12 11:46:55,Moore-Sellers,LLC,POS-8008,West Michaelstad,683.7,Lorraine Molina,RUPAY,EUR,SUCCESS,SUCCESS
TXN000141,REFUND,2025-04-07 11:46:55,Wiley LLC,and Sons,POS-6562,Kennethton,612.24,Jeffrey Fleming,VISA,INR,SUCCESS,SUCCESS
TXN000142,REFUND,2024-10-13 11:46:55,Brooks-Clark,and Sons,POS-8466,North Christie,894.54,Jeffrey Ross,AMEX,USD,SUCCESS,SUCCESS
TXN000143,CASHBACK,2025-06-22 11:46:55,May Ltd,Ltd,POS-4115,Port Ronaldside,375.02,Christian Martin,MASTERCARD,INR,SUCCESS,SUCCESS
TXN000144,PURCHASE,2025-04-02 11:46:55,Fox Group,LLC,POS-5116,Jennifermouth,675.94,Rebekah Sloan,AMEX,INR,FAILED,Currency mismatch
TXN000145,CASHBACK,2024-12-30 11:46:55,Ayala-Green,and Sons,POS-5172,Courtneymouth,487.26,Brianna Bennett,MASTERCARD,USD,SUCCESS,SUCCESS
TXN000146,REFUND,2024-10-05 11:46:55,"Manning, Torres and Gilmore",Group,POS-2185,Peterfort,19.12,Traci Forbes,RUPAY,GBP,SUCCESS,SUCCESS
TXN000147,PURCHASE,2024-12-15 11:46:55,Vega and Sons,and Sons,POS-9086,New Caitlinhaven,465.91,Richard Wolfe,VISA,USD,SUCCESS,SUCCESS
TXN000148,PURCHASE,2025-03-13 11:46:55,"Newman, Holden and Rodriguez",Ltd,POS-2617,South Christopher,828.0,Brian Cox,MASTERCARD,GBP,SUCCESS,SUCCESS
TXN000149,PURCHASE,2024-12-01 11:46:55,"Castillo, Rodriguez and Chavez",PLC,POS-2263,Elizabethbury,819.83,Kristina Wilcox,RUPAY,USD,SUCCESS,SUCCESS
TXN000150,PURCHASE,2025-03-09 11:46:55,Deleon PLC,and Sons,POS-9028,Port Dawnburgh,227.85,Kelly Franklin,AMEX,INR,FAILED,Currency mismatch
TXN000151,REFUND,2024-12-04 11:46:55,Kim Ltd,Group,POS-2757,Andrewberg,561.48,Carolyn Alexander,AMEX,EUR,SUCCESS,SUCCESS
TXN000152,CASHBACK,2025-02-13 11:46:55,Hendricks Inc,Ltd,POS-8238,Cookhaven,518.9,Amanda Harvey,RUPAY,INR,SUCCESS,SUCCESS
TXN000153,REFUND,2025-03-18 11:46:55,Whitaker-Henry,Ltd,POS-1271,Kennedyburgh,127.54,Jackson Turner,VISA,EUR,FAILED,Suspicious transaction (anomaly)
TXN000154,CASHBACK,2024-12-14 11:46:55,"Decker, Thomas and Jones",Inc,POS-5075,Longchester,225.88,Deborah Hall,VISA,GBP,SUCCESS,SUCCESS
TXN000155,PURCHASE,2025-05-13 11:46:55,Phillips LLC,Inc,POS-7302,Lake Michelle,648.74,Breanna Hansen,VISA,INR,SUCCESS,SUCCESS
TXN000156,PURCHASE,2024-08-03 11:46:55,Johnson Group,PLC,POS-9956,Kleinville,664.0,Kristin Baxter,MASTERCARD,EUR,SUCCESS,SUCCESS
