transactionId,transactionType,transactionDate,transactionStatus,merchantName,storeName,deviceName,location,totalAmount,cardHolderName,cardType,currencyCode,failureReason
TXN000013,CASHBACK,2024-08-16 13:05:49,,Bass-Wilson,PLC,POS-5260,East Susanburgh,481.77,Karen Acosta,VISA,EUR,
TXN000014,PURCHASE,2025-06-29 13:05:49,,Giles Inc,PLC,POS-2314,Oliverview,899.19,Benjamin Turner,RUPAY,INR,
TXN000015,CASHBACK,2025-03-20 13:05:49,,White-Gordon,Inc,POS-4525,Lake Vanessaborough,896.09,Tanner Harrison,RUPAY,INR,
TXN000016,REFUND,2024-11-08 13:05:49,,"Jackson, Chambers and Levy",Inc,POS-6855,Port Fernando,91.55,Autumn Morse,VISA,GBP,
TXN000017,CASHBACK,2024-08-30 13:05:49,,"Thompson, Ruiz and Ortiz",PLC,POS-6493,Deborahfurt,846.63,Danielle Castro,MASTERCARD,USD,
TXN000018,CASHBACK,2025-03-02 13:05:49,,Ellis Inc,LLC,POS-2919,New Juanbury,708.28,Karen Bishop,AMEX,EUR,
TXN000019,REFUND,2024-12-12 13:05:49,,"Howard, Arroyo and Schultz",PLC,POS-2018,Lake Kyle,109.6,Sandra Miller,MASTERCARD,EUR,
TXN000020,PURCHASE,2024-09-28 13:05:49,,"Lee, Cook and Allen",Ltd,POS-9752,Grayshire,606.15,Amanda Savage,VISA,USD,
TXN000021,PURCHASE,2024-08-27 13:05:49,,"Barnes, Bates and Williams",Group,POS-4088,West Jacquelinemouth,610.28,Katelyn Hoffman,VISA,GBP,
TXN000022,PURCHASE,2025-01-10 13:05:49,,Henson Group,LLC,POS-2901,Maryton,46.03,Sheri Burnett,VISA,EUR,
TXN000023,PURCHASE,2025-05-16 13:05:49,,Dunn Ltd,Inc,POS-8851,North Richard,218.47,Emily Lewis,VISA,USD,
TXN000024,CASHBACK,2024-12-13 13:05:49,,"Fischer, Baird and Lowe",PLC,POS-2662,East Davidborough,837.54,Diana Good,VISA,EUR,
TXN000025,PURCHASE,2024-08-21 13:05:49,,Alvarez Group,Ltd,POS-5932,North Joshuamouth,356.79,Ashley Scott,MASTERCARD,USD,
TXN000026,CASHBACK,2024-11-21 13:05:49,,"Meyer, Curtis and Reed",and Sons,POS-1645,Melissaton,600.52,Michael Grant,RUPAY,EUR,
TXN000027,REFUND,2025-01-16 13:05:49,,Mays-Browning,Inc,POS-8704,Josephmouth,839.94,Jacqueline Medina,MASTERCARD,EUR,
TXN000028,PURCHASE,2024-08-06 13:05:49,,Bennett LLC,Inc,POS-3592,East Joseph,846.97,Jacob Davis,AMEX,INR,
TXN000029,PURCHASE,2024-09-16 13:05:49,,"Johnson, Nelson and Hernandez",PLC,POS-8246,Michaelside,668.95,Brian Cross,VISA,GBP,
TXN000030,CASHBACK,2024-12-21 13:05:49,,Parker PLC,Ltd,POS-9332,West Richardmouth,918.34,Brian Hoffman,AMEX,GBP,
TXN000031,CASHBACK,2025-03-12 13:05:49,,Wells-Randall,LLC,POS-3513,South Darrenfort,564.99,Eric Navarro,VISA,GBP,
TXN000032,CASHBACK,2025-06-08 13:05:49,,Gillespie Ltd,PLC,POS-6503,Drakeland,741.63,Bradley Brady,AMEX,EUR,
TXN000033,PURCHASE,2024-11-14 13:05:49,,Cruz Inc,Group,POS-6770,Shanefort,614.03,Michelle Robinson,AMEX,EUR,
TXN000034,CASHBACK,2025-02-10 13:05:49,,Richardson LLC,PLC,POS-7357,South James,751.0,Rodney Farrell,VISA,USD,
TXN000035,CASHBACK,2025-04-11 13:05:49,,Leach Group,Ltd,POS-6478,North Tyler,168.48,Martin Shea,MASTERCARD,GBP,
TXN000036,REFUND,2024-07-20 13:05:49,,Hanson Inc,and Sons,POS-7789,Grayside,41.23,Ashley Carlson,RUPAY,USD,
TXN000037,PURCHASE,2024-12-02 13:05:49,,Hernandez-Sullivan,Ltd,POS-2046,Richfort,266.63,Stacy Bass,MASTERCARD,GBP,
TXN000038,CASHBACK,2024-11-11 13:05:49,,Reid-Baxter,PLC,POS-1001,North Matthew,885.04,Stephanie Meyers,RUPAY,INR,
TXN000039,REFUND,2024-11-21 13:05:49,,Warren LLC,PLC,POS-1816,Port Nicholas,810.96,Michael Ruiz,RUPAY,EUR,
TXN000040,CASHBACK,2024-08-28 13:05:49,,Black Inc,Inc,POS-2367,East Billy,839.07,Ryan Rivera,MASTERCARD,USD,
TXN000041,REFUND,2024-08-05 13:05:49,,Owen Ltd,Group,POS-7840,Williamhaven,323.02,Laura Gregory,MASTERCARD,USD,
TXN000042,CASHBACK,2025-07-17 13:05:49,,"Chang, Mooney and Burgess",and Sons,POS-9656,Amandachester,615.94,Karen Gibbs,MASTERCARD,USD,
TXN000043,CASHBACK,2024-08-20 13:05:49,,Lawson-Hall,Inc,POS-4252,Lake Hunterhaven,874.92,Faith Snyder,AMEX,EUR,
TXN000044,PURCHASE,2024-11-17 13:05:49,,Hahn-Turner,Group,POS-7499,Patrickton,631.36,Timothy Allen,VISA,INR,
TXN000045,REFUND,2025-05-20 13:05:49,,"Greer, Brown and Johnson",Group,POS-5202,South Pamela,142.09,Angela Hale,AMEX,USD,
TXN000046,PURCHASE,2025-02-26 13:05:49,,Jenkins-Carr,Group,POS-1304,Williamsfort,51.87,Alicia George,MASTERCARD,INR,
TXN000047,CASHBACK,2025-02-07 13:05:49,,Soto Inc,Ltd,POS-7011,Jamesfort,939.05,Antonio Haynes,VISA,GBP,
TXN000048,CASHBACK,2024-08-23 13:05:49,,"Chen, Morgan and Martinez",Ltd,POS-8514,Kristinaberg,643.74,Jasmine Carter,AMEX,EUR,
TXN000049,PURCHASE,2025-01-07 13:05:49,,"Brennan, Becker and Patrick",PLC,POS-5768,North Kimberly,18.81,Peter Gibson,MASTERCARD,INR,
TXN000050,REFUND,2025-01-27 13:05:49,,"Jones, Williams and Villa",Group,POS-7016,Rachelhaven,721.31,Laura Robinson,AMEX,USD,
TXN000051,PURCHASE,2025-03-02 13:05:49,,Frank Ltd,PLC,POS-3684,Hunterville,157.92,Steven Henderson,AMEX,INR,
TXN000052,REFUND,2024-10-11 13:05:49,,Walls Group,Inc,POS-3124,South Kimtown,300.47,Jessica Butler,RUPAY,EUR,
TXN000053,PURCHASE,2025-02-11 13:05:49,,Calhoun-Rivers,Ltd,POS-3942,Christianland,858.47,Michael Reed,VISA,INR,
TXN000054,REFUND,2025-01-31 13:05:49,,Smith and Sons,LLC,POS-5902,New Patriciaborough,420.57,Matthew Dennis,VISA,GBP,
TXN000055,REFUND,2025-01-27 13:05:49,,Adkins LLC,LLC,POS-6630,New Jesseberg,133.08,Brian Cooper,VISA,GBP,
TXN000056,REFUND,2025-06-29 13:05:49,,Anderson-Levy,LLC,POS-5946,Thomasport,341.73,Shawn Tran,MASTERCARD,EUR,
TXN000057,CASHBACK,2024-10-02 13:05:49,,White-Kaiser,Inc,POS-7153,Ericberg,808.06,Regina Stewart,VISA,USD,
TXN000058,PURCHASE,2025-04-08 13:05:49,,Young and Sons,LLC,POS-4621,Robertton,70.54,Lindsay Long,VISA,USD,
TXN000059,REFUND,2024-10-07 13:05:49,,"Jones, Fisher and Pierce",Ltd,POS-9503,New Robert,296.92,Angela Wallace,RUPAY,EUR,
TXN000060,REFUND,2025-06-06 13:05:49,,Walsh-Rice,Group,POS-7034,Smithmouth,227.94,Jacob Farley,AMEX,EUR,
TXN000061,REFUND,2025-04-11 13:05:49,,Clements Inc,LLC,POS-6873,New Catherineberg,123.86,Jill Ross,VISA,GBP,
TXN000062,CASHBACK,2025-04-06 13:05:49,,Reynolds-Wright,Group,POS-2948,Sharonberg,502.12,Mark Miller,AMEX,EUR,
TXN000063,CASHBACK,2025-06-27 13:05:49,,Phillips Ltd,Group,POS-4537,Smithport,627.18,William Turner,VISA,EUR,
TXN000064,REFUND,2025-01-06 13:05:49,,"Moore, Mccarthy and Ruiz",Ltd,POS-6925,Wolfbury,550.93,Jennifer Chen,MASTERCARD,USD,
TXN000065,CASHBACK,2024-11-11 13:05:49,,Martinez Ltd,Inc,POS-3431,West Raymondshire,568.27,Jill Francis,RUPAY,GBP,
TXN000066,CASHBACK,2025-02-03 13:05:49,,Campbell-Fischer,and Sons,POS-9166,North Chadview,998.2,Gerald Moreno,MASTERCARD,EUR,
TXN000067,PURCHASE,2025-01-25 13:05:49,,Macdonald and Sons,Inc,POS-6214,Callahanport,819.94,Laura Burton,VISA,EUR,
TXN000068,REFUND,2024-09-13 13:05:49,,"Garcia, Sosa and Stephens",Ltd,POS-3554,Kellystad,843.91,Brenda Martinez,AMEX,GBP,
TXN000069,PURCHASE,2025-06-05 13:05:49,,James PLC,Group,POS-9462,New Elizabeth,870.21,John Perry,VISA,USD,
TXN000070,PURCHASE,2025-05-13 13:05:49,,Burns-Mason,Group,POS-1665,South Kevinfort,307.44,Marc Johnson,RUPAY,INR,
TXN000071,PURCHASE,2025-05-03 13:05:49,,Myers-Haney,PLC,POS-8548,Lake Michellefurt,968.91,Andrew Oliver,RUPAY,USD,
TXN000072,CASHBACK,2025-06-02 13:05:49,,Marks-Lyons,Ltd,POS-9486,East Karen,760.27,Brian Murray,VISA,GBP,
TXN000073,PURCHASE,2025-02-20 13:05:49,,Cruz-Rivera,Ltd,POS-9772,Hernandezberg,902.13,Beverly Lozano,RUPAY,GBP,
TXN000074,REFUND,2024-09-10 13:05:49,,Bailey-Lucero,Group,POS-4826,Pricebury,852.8,Jessica Harris,VISA,USD,
TXN000075,CASHBACK,2025-04-16 13:05:49,,"Williams, Price and Young",Inc,POS-5955,West Brian,511.79,Carrie Bishop,AMEX,INR,
TXN000076,PURCHASE,2024-11-08 13:05:49,,"Miller, Melton and Walton",LLC,POS-5292,Ellishaven,943.52,Mariah Payne,AMEX,GBP,
TXN000077,REFUND,2025-01-03 13:05:49,,"Villa, Carpenter and Henry",Ltd,POS-2020,Lewisview,172.16,Anthony Bailey,MASTERCARD,EUR,
TXN000078,REFUND,2025-01-28 13:05:49,,Pena-Taylor,Group,POS-1909,New Randy,942.44,Jody Morgan,RUPAY,GBP,
TXN000079,PURCHASE,2024-11-09 13:05:49,,Obrien Inc,LLC,POS-2337,Amandamouth,676.81,Joseph Lee,MASTERCARD,INR,
TXN000080,REFUND,2025-06-30 13:05:49,,Clark PLC,LLC,POS-8639,Port James,392.82,Nancy Collins,VISA,USD,
TXN000081,REFUND,2025-05-02 13:05:49,,Scott-Cooper,Ltd,POS-1331,North Kevin,42.14,Alexandra Simpson,MASTERCARD,INR,
TXN000082,PURCHASE,2024-07-25 13:05:49,,Williams-Lamb,Group,POS-9997,Alexanderland,652.5,Brett Cannon,MASTERCARD,GBP,
TXN000083,REFUND,2025-05-23 13:05:49,,Henson-Lewis,PLC,POS-1985,Port Ronaldfurt,614.02,Christopher Burns,RUPAY,INR,
TXN000084,CASHBACK,2025-05-16 13:05:49,,Pittman LLC,LLC,POS-5855,Virginiaville,790.68,Donna Weaver,MASTERCARD,GBP,
TXN000085,REFUND,2024-08-04 13:05:49,,Dawson Group,PLC,POS-2991,Herreraview,523.82,Alan Mendez,MASTERCARD,USD,
TXN000086,REFUND,2024-12-03 13:05:49,,"Garcia, Quinn and Wright",LLC,POS-7087,Lake Amandachester,759.05,Barbara Brewer,RUPAY,INR,
TXN000087,CASHBACK,2025-06-10 13:05:49,,Maddox PLC,LLC,POS-1731,Lake Jennifer,902.91,Diane Singh,VISA,GBP,
TXN000088,REFUND,2025-07-05 13:05:49,,Brown LLC,Ltd,POS-9520,Jesusfort,669.85,Christopher Pacheco,MASTERCARD,EUR,
TXN000089,PURCHASE,2024-08-31 13:05:49,,"Wagner, Richardson and Walters",and Sons,POS-9231,Mooreburgh,701.52,Angela Hubbard,RUPAY,INR,
TXN000090,PURCHASE,2025-05-05 13:05:49,,Hudson-Dominguez,and Sons,POS-7979,Lake David,892.92,James Franklin,RUPAY,USD,
TXN000091,PURCHASE,2024-12-18 13:05:49,,Fuller Inc,PLC,POS-2030,New Caitlinfort,108.22,Adam Robinson,MASTERCARD,USD,
TXN000092,REFUND,2024-12-10 13:05:49,,"Martin, Koch and Lamb",Ltd,POS-7832,Payneland,39.83,Larry Warner,AMEX,INR,
TXN000093,PURCHASE,2025-01-19 13:05:49,,Floyd-Cruz,Inc,POS-2152,North Leslie,130.16,Danielle Roy,VISA,INR,
TXN000094,REFUND,2025-04-18 13:05:49,,"Swanson, Barrett and Green",Ltd,POS-1163,West Andre,831.97,Amy Mccoy,MASTERCARD,INR,
TXN000095,PURCHASE,2024-09-16 13:05:49,,Johnson-Burton,Inc,POS-3347,North Alexander,215.9,Erin Nicholson,MASTERCARD,USD,
TXN000096,CASHBACK,2025-07-15 13:05:49,,Stanton-Henderson,and Sons,POS-5804,Grahamstad,375.44,Matthew Chandler,VISA,EUR,
TXN000097,PURCHASE,2025-04-14 13:05:49,,"Ortiz, Smith and Macdonald",PLC,POS-8439,Maloneshire,121.27,Jennifer Myers,AMEX,INR,
TXN000098,PURCHASE,2025-07-04 13:05:49,,Mason PLC,Ltd,POS-4409,North Mark,368.62,Samantha Wright,RUPAY,INR,
TXN000099,REFUND,2024-10-08 13:05:49,,Frye and Sons,Ltd,POS-6357,Lake Christian,192.21,Linda Oliver,VISA,USD,
TXN000100,CASHBACK,2024-09-24 13:05:49,,Mckinney-Mendez,Inc,POS-6042,Matthewfurt,164.84,Timothy Johnson,MASTERCARD,EUR,
TXN000101,PURCHASE,2025-02-07 13:05:49,,Howard Ltd,and Sons,POS-9328,Youngstad,250.41,Paul Morgan,MASTERCARD,INR,
TXN000102,REFUND,2024-12-16 13:05:49,,Blackburn-Smith,PLC,POS-1757,Andreaton,862.36,Laura Baker,VISA,GBP,
TXN000103,PURCHASE,2024-07-24 13:05:49,,"Johnson, Foster and Wilson",LLC,POS-2199,Williamsview,140.7,Amanda Becker,AMEX,GBP,
TXN000104,CASHBACK,2025-05-07 13:05:49,,"Park, Hickman and Cooley",and Sons,POS-7917,Paulview,305.05,Keith Rivera,AMEX,USD,
TXN000105,PURCHASE,2024-12-03 13:05:49,,Willis Ltd,PLC,POS-7049,Franciscoberg,640.67,Paul Smith,VISA,GBP,
TXN000106,REFUND,2025-07-14 13:05:49,,Cunningham LLC,LLC,POS-7835,Conniemouth,962.34,Jamie Jordan Jr.,AMEX,GBP,
TXN000107,PURCHASE,2025-01-09 13:05:49,,Carroll Group,and Sons,POS-5805,Sarahfort,952.82,Mary Bates,VISA,EUR,
TXN000108,PURCHASE,2025-02-27 13:05:49,,Burgess-Lopez,PLC,POS-2837,Ramirezburgh,562.6,Amy Fowler,MASTERCARD,GBP,
TXN000109,REFUND,2025-04-15 13:05:49,,"Rodriguez, Gordon and Hogan",PLC,POS-7909,Fischerview,437.4,Adam Osborne,MASTERCARD,GBP,
TXN000110,REFUND,2024-10-24 13:05:49,,"Ramirez, Scott and Rose",LLC,POS-3335,Jameschester,361.81,Sarah Brady,VISA,GBP,
TXN000111,PURCHASE,2025-02-18 13:05:49,,Mueller Ltd,PLC,POS-1030,Wardton,831.87,Jennifer Mendez,RUPAY,GBP,
TXN000112,PURCHASE,2025-03-29 13:05:49,,Yoder LLC,PLC,POS-5891,Lake James,123.31,Michael Smith,AMEX,EUR,
TXN000113,REFUND,2024-07-22 13:05:49,,"Wright, Snow and Hill",Group,POS-8723,New Shanemouth,101.63,Stephanie Patrick,RUPAY,EUR,
TXN000114,CASHBACK,2024-12-23 13:05:49,,Rubio and Sons,Group,POS-5588,South Cynthiaview,635.74,Stephen Ayala,VISA,USD,
TXN000115,REFUND,2024-08-10 13:05:49,,"Murphy, Parker and Vasquez",LLC,POS-1664,Port Raymond,10.25,Mark Nunez,RUPAY,GBP,
TXN000116,REFUND,2025-05-27 13:05:49,,"Beard, Johnson and Marshall",PLC,POS-5138,New Jennifer,360.28,Alexander Wells,MASTERCARD,USD,
TXN000117,PURCHASE,2025-06-12 13:05:49,,"Taylor, Miller and Hancock",LLC,POS-5300,North Jamesville,312.55,Kaitlin Edwards,AMEX,USD,
TXN000118,CASHBACK,2025-03-13 13:05:49,,Edwards and Sons,Ltd,POS-3679,Richardberg,77.41,Jennifer Torres,AMEX,INR,
TXN000119,CASHBACK,2025-05-11 13:05:49,,Martin and Sons,Group,POS-9569,Lake Madisonton,630.87,Melissa Terry,VISA,GBP,
TXN000120,CASHBACK,2024-10-13 13:05:49,,Herring-Cooper,PLC,POS-7609,North Anitaview,744.01,Dean Graves,AMEX,INR,
TXN000121,REFUND,2025-01-09 13:05:49,,Casey-Holmes,Group,POS-3257,Port Rachel,165.5,Amanda Richards,VISA,GBP,
TXN000122,REFUND,2024-09-19 13:05:49,,"Hunt, Huang and Stewart",Inc,POS-8666,Lake Krystal,148.14,Robin Boyd,AMEX,INR,
TXN000123,CASHBACK,2024-11-18 13:05:49,,"Cook, Rios and Alvarez",PLC,POS-7801,New Christopherhaven,225.83,Robert Miller,RUPAY,INR,
TXN000124,REFUND,2024-08-19 13:05:49,,Lawson-Hudson,LLC,POS-1986,Huntville,449.54,Timothy White,MASTERCARD,GBP,
TXN000125,PURCHASE,2024-09-03 13:05:49,,Smith PLC,and Sons,POS-4534,South Deannaport,35.29,Susan Burke,RUPAY,GBP,
TXN000126,PURCHASE,2024-10-22 13:05:49,,"Jackson, Hull and Mcintosh",Group,POS-2088,South Michaelview,690.03,Kristine Lara,VISA,GBP,
TXN000127,PURCHASE,2025-01-15 13:05:49,,White-Chavez,LLC,POS-1674,South Caleb,124.99,Alexander Smith,VISA,INR,
TXN000128,CASHBACK,2024-07-25 13:05:49,,Gilbert-Valdez,Inc,POS-5792,Stephenside,729.83,Melissa Alvarez,MASTERCARD,EUR,
TXN000129,CASHBACK,2025-02-21 13:05:49,,Nichols Group,LLC,POS-4132,Lake Zacharyland,114.41,Tyler Ruiz,RUPAY,INR,
TXN000130,REFUND,2025-04-23 13:05:49,,Moore PLC,Ltd,POS-6418,Susantown,427.49,Christopher Kelley,RUPAY,EUR,
TXN000131,REFUND,2024-07-21 13:05:49,,Martin and Sons,Ltd,POS-3416,New Mark,528.92,Tyler Garrett,MASTERCARD,EUR,
TXN000132,PURCHASE,2024-12-03 13:05:49,,Williams-Allen,LLC,POS-6720,Georgebury,791.44,Christopher Fisher,RUPAY,GBP,
TXN000133,REFUND,2024-12-31 13:05:49,,Walter-Taylor,PLC,POS-4607,East Sarahtown,797.63,Michelle Jackson,RUPAY,EUR,
TXN000134,CASHBACK,2024-07-20 13:05:49,,Smith LLC,PLC,POS-1815,North Brandonville,906.76,Brittany Hernandez,VISA,EUR,
TXN000135,CASHBACK,2025-06-05 13:05:49,,French-Barnes,PLC,POS-4059,Jenniferberg,369.97,Daniel Morales,MASTERCARD,EUR,
TXN000136,CASHBACK,2025-02-16 13:05:49,,Russell Ltd,LLC,POS-2419,South Paulabury,707.87,Danny Foster,AMEX,INR,
TXN000137,REFUND,2024-11-26 13:05:49,,"Olson, Knapp and Jones",LLC,POS-1883,Nicolestad,635.56,Lindsey Chan,RUPAY,GBP,
TXN000138,REFUND,2025-03-10 13:05:49,,Hill PLC,LLC,POS-8793,Maynardville,223.27,Sarah Thomas,AMEX,USD,
TXN000139,PURCHASE,2025-06-22 13:05:49,,Johnson-Fisher,Group,POS-3668,Middletonmouth,356.3,Candice Peterson,AMEX,USD,
TXN000140,PURCHASE,2025-06-16 13:05:49,,Moore-Sellers,LLC,POS-8008,West Michaelstad,683.7,Lorraine Molina,RUPAY,EUR,
TXN000141,REFUND,2025-04-11 13:05:49,,Wiley LLC,and Sons,POS-6562,Kennethton,612.24,Jeffrey Fleming,VISA,INR,
TXN000142,REFUND,2024-10-17 13:05:49,,Brooks-Clark,and Sons,POS-8466,North Christie,894.54,Jeffrey Ross,AMEX,USD,
TXN000143,CASHBACK,2025-06-26 13:05:49,,May Ltd,Ltd,POS-4115,Port Ronaldside,375.02,Christian Martin,MASTERCARD,INR,
TXN000144,PURCHASE,2025-04-06 13:05:49,,Fox Group,LLC,POS-5116,Jennifermouth,675.94,Rebekah Sloan,AMEX,INR,
TXN000145,CASHBACK,2025-01-03 13:05:49,,Ayala-Green,and Sons,POS-5172,Courtneymouth,487.26,Brianna Bennett,MASTERCARD,USD,
TXN000146,REFUND,2024-10-09 13:05:49,,"Manning, Torres and Gilmore",Group,POS-2185,Peterfort,19.12,Traci Forbes,RUPAY,GBP,
TXN000147,PURCHASE,2024-12-19 13:05:49,,Vega and Sons,and Sons,POS-9086,New Caitlinhaven,465.91,Richard Wolfe,VISA,USD,
TXN000148,PURCHASE,2025-03-17 13:05:49,,"Newman, Holden and Rodriguez",Ltd,POS-2617,South Christopher,828.0,Brian Cox,MASTERCARD,GBP,
TXN000149,PURCHASE,2024-12-05 13:05:49,,"Castillo, Rodriguez and Chavez",PLC,POS-2263,Elizabethbury,819.83,Kristina Wilcox,RUPAY,USD,
TXN000150,PURCHASE,2025-03-13 13:05:49,,Deleon PLC,and Sons,POS-9028,Port Dawnburgh,227.85,Kelly Franklin,AMEX,INR,
TXN000151,REFUND,2024-12-08 13:05:49,,Kim Ltd,Group,POS-2757,Andrewberg,561.48,Carolyn Alexander,AMEX,EUR,
TXN000152,CASHBACK,2025-02-17 13:05:49,,Hendricks Inc,Ltd,POS-8238,Cookhaven,518.9,Amanda Harvey,RUPAY,INR,
TXN000153,REFUND,2025-03-22 13:05:49,,Whitaker-Henry,Ltd,POS-1271,Kennedyburgh,127.54,Jackson Turner,VISA,EUR,
TXN000154,CASHBACK,2024-12-18 13:05:49,,"Decker, Thomas and Jones",Inc,POS-5075,Longchester,225.88,Deborah Hall,VISA,GBP,
TXN000155,PURCHASE,2025-05-17 13:05:49,,Phillips LLC,Inc,POS-7302,Lake Michelle,648.74,Breanna Hansen,VISA,INR,
TXN000156,PURCHASE,2024-08-07 13:05:49,,Johnson Group,PLC,POS-9956,Kleinville,664.0,Kristin Baxter,MASTERCARD,EUR,
TXN000157,PURCHASE,2024-10-26 13:05:49,,Brennan-Jennings,and Sons,POS-6038,South Mary,677.9,Danny Simpson,MASTERCARD,INR,
TXN000158,CASHBACK,2024-11-15 13:05:49,,"House, Davis and Torres",Group,POS-5699,Lake Michael,586.24,Peter Hall,MASTERCARD,USD,
TXN000159,CASHBACK,2024-11-02 13:05:49,,Newton Group,Ltd,POS-6372,Justinberg,373.32,Barbara Kelly,VISA,EUR,
TXN000160,REFUND,2025-04-30 13:05:49,,Perez-Fletcher,Ltd,POS-3896,Ryanstad,515.37,Pamela Klein,VISA,EUR,
TXN000161,PURCHASE,2024-11-06 13:05:49,,Delacruz-Castillo,LLC,POS-4497,South Ericbury,242.96,Tara Morgan,MASTERCARD,EUR,
TXN000162,REFUND,2025-01-19 13:05:49,,Rodriguez Group,Group,POS-3171,Palmershire,632.7,Connie Ross,VISA,USD,
TXN000163,CASHBACK,2024-09-16 13:05:49,,Tucker-Edwards,Ltd,POS-6875,North Thomasfurt,494.31,Crystal Ponce,AMEX,USD,
TXN000164,PURCHASE,2024-10-07 13:05:49,,Johnston Inc,Group,POS-3671,West Jamesmouth,664.24,Christopher Hale,RUPAY,GBP,
TXN000165,CASHBACK,2025-02-08 13:05:49,,Hall Inc,Inc,POS-2290,Nicholsberg,266.57,Larry Donovan,RUPAY,EUR,
TXN000166,REFUND,2025-02-19 13:05:49,,Miller Group,and Sons,POS-7292,New Peggychester,944.34,Christopher Young,MASTERCARD,USD,
TXN000167,REFUND,2025-03-13 13:05:49,,Reyes-Aguirre,Group,POS-6622,South Theresa,864.33,Troy Johnson,MASTERCARD,INR,
TXN000168,REFUND,2024-08-09 13:05:49,,Padilla-Wilcox,Ltd,POS-3659,Davidsonhaven,311.85,Tony Espinoza,AMEX,USD,
TXN000169,CASHBACK,2024-08-30 13:05:49,,Johnson-Thomas,Ltd,POS-3477,South Jamie,359.89,Emma Fisher,RUPAY,USD,
TXN000170,PURCHASE,2025-03-17 13:05:49,,"Martinez, Garcia and Bartlett",Inc,POS-1736,Harrisonmouth,22.32,Betty Scott,AMEX,USD,
TXN000171,PURCHASE,2025-01-23 13:05:49,,Cunningham LLC,and Sons,POS-7924,Wrightfort,144.49,Jennifer Griffin,MASTERCARD,GBP,
TXN000172,REFUND,2025-05-07 13:05:49,,Tran Group,and Sons,POS-6866,Allenfort,318.83,Darren Campbell,AMEX,GBP,
TXN000173,REFUND,2025-07-14 13:05:49,,"Tucker, Frederick and Hernandez",PLC,POS-7705,East Kevinhaven,892.01,Barbara Brown,RUPAY,USD,
TXN000174,CASHBACK,2025-05-17 13:05:49,,Johnson-Berg,and Sons,POS-7699,Myersborough,954.41,Corey Myers,MASTERCARD,USD,
TXN000175,CASHBACK,2025-05-09 13:05:49,,Barron-Fleming,PLC,POS-9420,Lake Mark,841.65,Kimberly York,MASTERCARD,USD,
TXN000176,REFUND,2025-03-19 13:05:49,,"Hamilton, Schultz and Williamson",Ltd,POS-3888,New Scott,254.33,Taylor Bridges,VISA,EUR,
TXN000177,CASHBACK,2024-08-02 13:05:49,,"Simon, Smith and Brown",and Sons,POS-3757,Sawyerbury,720.61,Ashley Sheppard,RUPAY,USD,
TXN000178,CASHBACK,2024-08-31 13:05:49,,"Coleman, Brewer and Mcneil",Ltd,POS-8495,Trevorborough,713.01,Justin Kelly,VISA,INR,
TXN000179,REFUND,2025-01-07 13:05:49,,Myers-Branch,LLC,POS-1446,Jonesbury,629.51,Nicole Finley,VISA,GBP,
TXN000180,PURCHASE,2025-01-16 13:05:49,,Sampson-Zimmerman,and Sons,POS-5796,Janettown,674.93,Brandon Gutierrez,RUPAY,EUR,
TXN000181,CASHBACK,2025-01-17 13:05:49,,"Russo, Jenkins and Clark",Inc,POS-3658,New Dawn,738.14,James Medina Jr.,RUPAY,INR,
